SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.577,-0.002,1.123
Preload-1N,1-Compress,0.010,11.577,-0.002,1.113
Preload-1N,1-Compress,0.020,11.579,-0.004,1.081
Preload-1N,1-Compress,0.030,11.579,-0.004,1.070
Preload-1N,1-Compress,0.040,11.579,-0.004,1.060
Preload-1N,1-Compress,0.050,11.58,-0.005,1.049
Preload-1N,1-Compress,0.060,11.58,-0.005,1.049
Preload-1N,1-Compress,0.070,11.58,-0.005,1.039
Preload-1N,1-Compress,0.080,11.58,-0.005,1.028
Preload-1N,1-Compress,0.090,11.58,-0.005,1.049
Preload-1N,1-Compress,0.100,11.58,-0.005,1.039
Preload-1N,1-Compress,0.110,11.58,-0.005,1.039
Preload-1N,1-Compress,0.120,11.58,-0.005,1.060
Preload-1N,1-Compress,0.130,11.58,-0.005,1.092
Preload-1N,1-Compress,0.140,11.582,-0.007,1.123
Preload-1N,1-Compress,0.150,11.582,-0.007,1.145
Preload-1N,1-Compress,0.160,11.582,-0.007,1.166
Preload-1N,1-Compress,0.170,11.582,-0.007,1.166
Preload-1N,1-Compress,0.180,11.583,-0.008,1.166
Preload-1N,1-Compress,0.190,11.583,-0.008,1.166
Preload-1N,1-Compress,0.200,11.585,-0.01,1.134
Preload-1N,1-Compress,0.210,11.585,-0.01,1.102
Preload-1N,1-Compress,0.220,11.587,-0.012,1.102
Preload-1N,1-Compress,0.230,11.587,-0.012,1.070
Preload-1N,1-Compress,0.240,11.587,-0.012,1.070
Preload-1N,1-Compress,0.250,11.588,-0.013,1.049
Preload-1N,1-Compress,0.260,11.588,-0.013,1.039
Preload-1N,1-Compress,0.270,11.588,-0.013,1.018
Preload-1N,1-Compress,0.280,11.587,-0.012,1.007
Preload-1N,1-Compress,0.290,11.587,-0.012,1.028
Preload-1N,1-Compress,0.300,11.587,-0.012,1.007
Preload-1N,1-Compress,0.310,11.587,-0.012,0.986
Preload-1N,1-Compress,0.320,11.587,-0.012,0.975
Preload-1N,1-Compress,0.330,11.585,-0.01,0.954
Preload-1N,1-Compress,0.340,11.583,-0.008,0.965
Preload-1N,1-Compress,0.350,11.582,-0.007,1.018
Preload-1N,1-Compress,0.360,11.58,-0.005,1.039
Preload-1N,1-Compress,0.370,11.582,-0.007,1.018
Preload-1N,1-Compress,0.380,11.583,-0.008,0.986
Preload-1N,1-Compress,0.390,11.58,-0.005,1.007
Preload-1N,1-Compress,0.400,11.579,-0.004,1.092
Preload-1N,1-Compress,0.410,11.58,-0.005,1.070
Preload-1N,1-Compress,0.420,11.58,-0.005,1.092
Preload-1N,1-Compress,0.430,11.582,-0.007,1.134
Preload-1N,1-Compress,0.440,11.583,-0.008,1.155
Preload-1N,1-Compress,0.450,11.583,-0.008,1.155
Preload-1N,1-Compress,0.460,11.583,-0.008,1.166
Preload-1N,1-Compress,0.470,11.583,-0.008,1.166
Preload-1N,1-Compress,0.480,11.583,-0.008,1.176
Preload-1N,1-Compress,0.490,11.583,-0.008,1.166
Preload-1N,1-Compress,0.500,11.585,-0.01,1.166
Preload-1N,1-Compress,0.510,11.585,-0.01,1.155
Preload-1N,1-Compress,0.520,11.587,-0.012,1.113
Preload-1N,1-Compress,0.530,11.587,-0.012,1.145
Preload-1N,1-Compress,0.540,11.588,-0.013,1.092
Preload-1N,1-Compress,0.550,11.59,-0.015,1.113
Preload-1N,1-Compress,0.560,11.59,-0.015,1.081
Preload-1N,1-Compress,0.570,11.59,-0.015,1.092
