SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.638,-0.002,1.325
Preload-1N,1-Compress,0.010,11.641,-0.005,1.229
Preload-1N,1-Compress,0.020,11.644,-0.008,1.198
Preload-1N,1-Compress,0.030,11.644,-0.008,1.166
Preload-1N,1-Compress,0.040,11.646,-0.01,1.166
Preload-1N,1-Compress,0.050,11.647,-0.011,1.145
Preload-1N,1-Compress,0.060,11.649,-0.013,1.123
Preload-1N,1-Compress,0.070,11.649,-0.013,1.123
Preload-1N,1-Compress,0.080,11.651,-0.015,1.102
Preload-1N,1-Compress,0.090,11.651,-0.015,1.102
Preload-1N,1-Compress,0.100,11.652,-0.016,1.092
Preload-1N,1-Compress,0.110,11.652,-0.016,1.092
Preload-1N,1-Compress,0.120,11.652,-0.016,1.081
Preload-1N,1-Compress,0.130,11.654,-0.018,1.092
Preload-1N,1-Compress,0.140,11.654,-0.018,1.081
Preload-1N,1-Compress,0.150,11.654,-0.018,1.081
Preload-1N,1-Compress,0.160,11.654,-0.018,1.081
Preload-1N,1-Compress,0.170,11.654,-0.018,1.081
Preload-1N,1-Compress,0.180,11.654,-0.018,1.092
Preload-1N,1-Compress,0.190,11.654,-0.018,1.102
Preload-1N,1-Compress,0.200,11.654,-0.018,1.102
Preload-1N,1-Compress,0.210,11.654,-0.018,1.092
Preload-1N,1-Compress,0.220,11.654,-0.018,1.102
Preload-1N,1-Compress,0.230,11.654,-0.018,1.092
Preload-1N,1-Compress,0.240,11.654,-0.018,1.102
Preload-1N,1-Compress,0.250,11.654,-0.018,1.102
Preload-1N,1-Compress,0.260,11.654,-0.018,1.102
Preload-1N,1-Compress,0.270,11.654,-0.018,1.102
Preload-1N,1-Compress,0.280,11.654,-0.018,1.102
Preload-1N,1-Compress,0.290,11.654,-0.018,1.102
Preload-1N,1-Compress,0.300,11.654,-0.018,1.102
Preload-1N,1-Compress,0.310,11.654,-0.018,1.102
Preload-1N,1-Compress,0.320,11.654,-0.018,1.102
Preload-1N,1-Compress,0.330,11.654,-0.018,1.081
Preload-1N,1-Compress,0.340,11.654,-0.018,1.092
Preload-1N,1-Compress,0.350,11.654,-0.018,1.092
Preload-1N,1-Compress,0.360,11.654,-0.018,1.092
Preload-1N,1-Compress,0.370,11.654,-0.018,1.092
Preload-1N,1-Compress,0.380,11.654,-0.018,1.092
Preload-1N,1-Compress,0.390,11.654,-0.018,1.092
Preload-1N,1-Compress,0.400,11.654,-0.018,1.092
Preload-1N,1-Compress,0.410,11.654,-0.018,1.092
Preload-1N,1-Compress,0.420,11.654,-0.018,1.081
