SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.908,-0.002,1.346
Preload-1N,1-Compress,0.010,11.912,-0.006,1.293
Preload-1N,1-Compress,0.020,11.915,-0.009,1.219
Preload-1N,1-Compress,0.030,11.916,-0.01,1.240
Preload-1N,1-Compress,0.040,11.918,-0.012,1.208
Preload-1N,1-Compress,0.050,11.919,-0.013,1.176
Preload-1N,1-Compress,0.060,11.921,-0.015,1.176
Preload-1N,1-Compress,0.070,11.921,-0.015,1.134
Preload-1N,1-Compress,0.080,11.922,-0.016,1.155
Preload-1N,1-Compress,0.090,11.922,-0.016,1.134
Preload-1N,1-Compress,0.100,11.924,-0.018,1.123
Preload-1N,1-Compress,0.110,11.924,-0.018,1.123
Preload-1N,1-Compress,0.120,11.924,-0.018,1.123
Preload-1N,1-Compress,0.130,11.926,-0.02,1.113
Preload-1N,1-Compress,0.140,11.926,-0.02,1.113
Preload-1N,1-Compress,0.150,11.926,-0.02,1.113
Preload-1N,1-Compress,0.160,11.926,-0.02,1.102
Preload-1N,1-Compress,0.170,11.926,-0.02,1.113
Preload-1N,1-Compress,0.180,11.926,-0.02,1.102
Preload-1N,1-Compress,0.190,11.926,-0.02,1.113
Preload-1N,1-Compress,0.200,11.926,-0.02,1.102
Preload-1N,1-Compress,0.210,11.926,-0.02,1.102
Preload-1N,1-Compress,0.220,11.926,-0.02,1.102
Preload-1N,1-Compress,0.230,11.926,-0.02,1.102
Preload-1N,1-Compress,0.240,11.926,-0.02,1.102
Preload-1N,1-Compress,0.250,11.926,-0.02,1.102
Preload-1N,1-Compress,0.260,11.926,-0.02,1.102
Preload-1N,1-Compress,0.270,11.926,-0.02,1.102
Preload-1N,1-Compress,0.280,11.926,-0.02,1.102
Preload-1N,1-Compress,0.290,11.926,-0.02,1.102
Preload-1N,1-Compress,0.300,11.926,-0.02,1.102
Preload-1N,1-Compress,0.310,11.926,-0.02,1.102
Preload-1N,1-Compress,0.320,11.926,-0.02,1.113
Preload-1N,1-Compress,0.330,11.926,-0.02,1.102
Preload-1N,1-Compress,0.340,11.926,-0.02,1.102
Preload-1N,1-Compress,0.350,11.926,-0.02,1.123
Preload-1N,1-Compress,0.360,11.926,-0.02,1.113
Preload-1N,1-Compress,0.370,11.926,-0.02,1.113
Preload-1N,1-Compress,0.380,11.926,-0.02,1.123
Preload-1N,1-Compress,0.390,11.926,-0.02,1.123
Preload-1N,1-Compress,0.400,11.926,-0.02,1.113
Preload-1N,1-Compress,0.410,11.926,-0.02,1.113
Preload-1N,1-Compress,0.420,11.926,-0.02,1.113
Preload-1N,1-Compress,0.430,11.926,-0.02,1.113
Preload-1N,1-Compress,0.440,11.926,-0.02,1.113
Preload-1N,1-Compress,0.450,11.926,-0.02,1.113
Preload-1N,1-Compress,0.460,11.926,-0.02,1.113
Preload-1N,1-Compress,0.470,11.926,-0.02,1.113
Preload-1N,1-Compress,0.480,11.926,-0.02,1.113
Preload-1N,1-Compress,0.490,11.926,-0.02,1.113
Preload-1N,1-Compress,0.500,11.926,-0.02,1.102
Preload-1N,1-Compress,0.510,11.926,-0.02,1.102
Preload-1N,1-Compress,0.520,11.926,-0.02,1.102
Preload-1N,1-Compress,0.530,11.926,-0.02,1.102
Preload-1N,1-Compress,0.540,11.926,-0.02,1.102
