SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.33,-0.002,1.399
Preload-1N,1-Compress,0.010,11.335,-0.007,1.346
Preload-1N,1-Compress,0.020,11.338,-0.01,1.272
Preload-1N,1-Compress,0.030,11.34,-0.012,1.303
Preload-1N,1-Compress,0.040,11.341,-0.013,1.272
Preload-1N,1-Compress,0.050,11.343,-0.015,1.251
Preload-1N,1-Compress,0.060,11.344,-0.016,1.229
Preload-1N,1-Compress,0.070,11.346,-0.018,1.219
Preload-1N,1-Compress,0.080,11.346,-0.018,1.219
Preload-1N,1-Compress,0.090,11.347,-0.019,1.198
Preload-1N,1-Compress,0.100,11.347,-0.019,1.198
Preload-1N,1-Compress,0.110,11.349,-0.021,1.176
Preload-1N,1-Compress,0.120,11.349,-0.021,1.166
Preload-1N,1-Compress,0.130,11.349,-0.021,1.166
Preload-1N,1-Compress,0.140,11.351,-0.023,1.166
Preload-1N,1-Compress,0.150,11.351,-0.023,1.166
Preload-1N,1-Compress,0.160,11.351,-0.023,1.155
Preload-1N,1-Compress,0.170,11.351,-0.023,1.155
Preload-1N,1-Compress,0.180,11.351,-0.023,1.166
Preload-1N,1-Compress,0.190,11.351,-0.023,1.166
Preload-1N,1-Compress,0.200,11.351,-0.023,1.166
Preload-1N,1-Compress,0.210,11.351,-0.023,1.166
Preload-1N,1-Compress,0.220,11.351,-0.023,1.155
Preload-1N,1-Compress,0.230,11.351,-0.023,1.166
Preload-1N,1-Compress,0.240,11.351,-0.023,1.166
Preload-1N,1-Compress,0.250,11.351,-0.023,1.166
Preload-1N,1-Compress,0.260,11.351,-0.023,1.176
Preload-1N,1-Compress,0.270,11.351,-0.023,1.176
Preload-1N,1-Compress,0.280,11.351,-0.023,1.176
Preload-1N,1-Compress,0.290,11.351,-0.023,1.176
Preload-1N,1-Compress,0.300,11.351,-0.023,1.176
Preload-1N,1-Compress,0.310,11.351,-0.023,1.176
Preload-1N,1-Compress,0.320,11.351,-0.023,1.176
Preload-1N,1-Compress,0.330,11.351,-0.023,1.176
Preload-1N,1-Compress,0.340,11.351,-0.023,1.176
Preload-1N,1-Compress,0.350,11.351,-0.023,1.176
Preload-1N,1-Compress,0.360,11.351,-0.023,1.166
Preload-1N,1-Compress,0.370,11.351,-0.023,1.176
Preload-1N,1-Compress,0.380,11.351,-0.023,1.176
Preload-1N,1-Compress,0.390,11.351,-0.023,1.176
Preload-1N,1-Compress,0.400,11.351,-0.023,1.176
Preload-1N,1-Compress,0.410,11.351,-0.023,1.155
Preload-1N,1-Compress,0.420,11.351,-0.023,1.166
Preload-1N,1-Compress,0.430,11.351,-0.023,1.166
Preload-1N,1-Compress,0.440,11.351,-0.023,1.166
Preload-1N,1-Compress,0.450,11.351,-0.023,1.155
Preload-1N,1-Compress,0.460,11.351,-0.023,1.155
Preload-1N,1-Compress,0.470,11.351,-0.023,1.155
Preload-1N,1-Compress,0.480,11.351,-0.023,1.155
Preload-1N,1-Compress,0.490,11.351,-0.023,1.155
Preload-1N,1-Compress,0.500,11.351,-0.023,1.155
Preload-1N,1-Compress,0.510,11.351,-0.023,1.155
Preload-1N,1-Compress,0.520,11.351,-0.023,1.155
Preload-1N,1-Compress,0.530,11.351,-0.023,1.155
Preload-1N,1-Compress,0.540,11.351,-0.023,1.155
Preload-1N,1-Compress,0.550,11.351,-0.023,1.145
Preload-1N,1-Compress,0.560,11.351,-0.023,1.166
Preload-1N,1-Compress,0.570,11.351,-0.023,1.166
Preload-1N,1-Compress,0.580,11.351,-0.023,1.166
Preload-1N,1-Compress,0.590,11.351,-0.023,1.166
Preload-1N,1-Compress,0.600,11.351,-0.023,1.166
Preload-1N,1-Compress,0.610,11.351,-0.023,1.166
Preload-1N,1-Compress,0.620,11.351,-0.023,1.166
Preload-1N,1-Compress,0.630,11.351,-0.023,1.166
Preload-1N,1-Compress,0.640,11.351,-0.023,1.155
Preload-1N,1-Compress,0.650,11.351,-0.023,1.155
Preload-1N,1-Compress,0.660,11.351,-0.023,1.155
Preload-1N,1-Compress,0.670,11.351,-0.023,1.166
Preload-1N,1-Compress,0.680,11.351,-0.023,1.166
Preload-1N,1-Compress,0.690,11.351,-0.023,1.166
Preload-1N,1-Compress,0.700,11.351,-0.023,1.155
Preload-1N,1-Compress,0.710,11.351,-0.023,1.155
Preload-1N,1-Compress,0.720,11.351,-0.023,1.145
Preload-1N,1-Compress,0.730,11.351,-0.023,1.145
Preload-1N,1-Compress,0.740,11.351,-0.023,1.145
Preload-1N,1-Compress,0.750,11.351,-0.023,1.145
Preload-1N,1-Compress,0.760,11.351,-0.023,1.145
Preload-1N,1-Compress,0.770,11.351,-0.023,1.145
Preload-1N,1-Compress,0.780,11.351,-0.023,1.155
Preload-1N,1-Compress,0.790,11.351,-0.023,1.145
Preload-1N,1-Compress,0.800,11.351,-0.023,1.145
Preload-1N,1-Compress,0.810,11.351,-0.023,1.145
Preload-1N,1-Compress,0.820,11.351,-0.023,1.145
Preload-1N,1-Compress,0.830,11.351,-0.023,1.145
Preload-1N,1-Compress,0.840,11.351,-0.023,1.134
Preload-1N,1-Compress,0.850,11.351,-0.023,1.145
Preload-1N,1-Compress,0.860,11.351,-0.023,1.134
Preload-1N,1-Compress,0.870,11.351,-0.023,1.145
Preload-1N,1-Compress,0.880,11.351,-0.023,1.155
Preload-1N,1-Compress,0.890,11.351,-0.023,1.145
Preload-1N,1-Compress,0.900,11.351,-0.023,1.155
Preload-1N,1-Compress,0.910,11.351,-0.023,1.145
Preload-1N,1-Compress,0.920,11.351,-0.023,1.145
Preload-1N,1-Compress,0.930,11.351,-0.023,1.145
Preload-1N,1-Compress,0.940,11.351,-0.023,1.155
Preload-1N,1-Compress,0.950,11.351,-0.023,1.155
Preload-1N,1-Compress,0.960,11.351,-0.023,1.145
Preload-1N,1-Compress,0.970,11.351,-0.023,1.145
Preload-1N,1-Compress,0.980,11.351,-0.023,1.145
Preload-1N,1-Compress,0.990,11.351,-0.023,1.145
Preload-1N,1-Compress,1.000,11.351,-0.023,1.145
Preload-1N,1-Compress,1.010,11.351,-0.023,1.145
Preload-1N,1-Compress,1.020,11.351,-0.023,1.134
Preload-1N,1-Compress,1.030,11.351,-0.023,1.134
Preload-1N,1-Compress,1.040,11.351,-0.023,1.123
