SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.09,-0.002,1.229
Preload-1N,1-Compress,0.010,11.091,-0.003,1.208
Preload-1N,1-Compress,0.020,11.093,-0.005,1.155
Preload-1N,1-Compress,0.030,11.093,-0.005,1.123
Preload-1N,1-Compress,0.040,11.094,-0.006,1.113
Preload-1N,1-Compress,0.050,11.096,-0.008,1.123
Preload-1N,1-Compress,0.060,11.096,-0.008,1.113
Preload-1N,1-Compress,0.070,11.096,-0.008,1.113
Preload-1N,1-Compress,0.080,11.097,-0.009,1.102
Preload-1N,1-Compress,0.090,11.097,-0.009,1.102
Preload-1N,1-Compress,0.100,11.097,-0.009,1.102
Preload-1N,1-Compress,0.110,11.097,-0.009,1.092
Preload-1N,1-Compress,0.120,11.097,-0.009,1.102
Preload-1N,1-Compress,0.130,11.097,-0.009,1.092
Preload-1N,1-Compress,0.140,11.099,-0.011,1.092
Preload-1N,1-Compress,0.150,11.099,-0.011,1.092
Preload-1N,1-Compress,0.160,11.099,-0.011,1.092
Preload-1N,1-Compress,0.170,11.099,-0.011,1.092
Preload-1N,1-Compress,0.180,11.099,-0.011,1.081
Preload-1N,1-Compress,0.190,11.099,-0.011,1.081
Preload-1N,1-Compress,0.200,11.099,-0.011,1.081
Preload-1N,1-Compress,0.210,11.099,-0.011,1.070
Preload-1N,1-Compress,0.220,11.099,-0.011,1.070
Preload-1N,1-Compress,0.230,11.099,-0.011,1.081
Preload-1N,1-Compress,0.240,11.099,-0.011,1.070
Preload-1N,1-Compress,0.250,11.099,-0.011,1.070
Preload-1N,1-Compress,0.260,11.099,-0.011,1.070
Preload-1N,1-Compress,0.270,11.099,-0.011,1.070
Preload-1N,1-Compress,0.280,11.099,-0.011,1.070
Preload-1N,1-Compress,0.290,11.099,-0.011,1.081
Preload-1N,1-Compress,0.300,11.099,-0.011,1.070
Preload-1N,1-Compress,0.310,11.099,-0.011,1.070
Preload-1N,1-Compress,0.320,11.099,-0.011,1.070
Preload-1N,1-Compress,0.330,11.099,-0.011,1.070
Preload-1N,1-Compress,0.340,11.099,-0.011,1.070
Preload-1N,1-Compress,0.350,11.099,-0.011,1.081
Preload-1N,1-Compress,0.360,11.099,-0.011,1.081
Preload-1N,1-Compress,0.370,11.099,-0.011,1.081
Preload-1N,1-Compress,0.380,11.099,-0.011,1.081
Preload-1N,1-Compress,0.390,11.099,-0.011,1.081
Preload-1N,1-Compress,0.400,11.099,-0.011,1.081
Preload-1N,1-Compress,0.410,11.099,-0.011,1.070
Preload-1N,1-Compress,0.420,11.099,-0.011,1.081
Preload-1N,1-Compress,0.430,11.099,-0.011,1.081
Preload-1N,1-Compress,0.440,11.099,-0.011,1.070
Preload-1N,1-Compress,0.450,11.099,-0.011,1.070
Preload-1N,1-Compress,0.460,11.099,-0.011,1.081
Preload-1N,1-Compress,0.470,11.099,-0.011,1.081
Preload-1N,1-Compress,0.480,11.099,-0.011,1.070
Preload-1N,1-Compress,0.490,11.099,-0.011,1.070
Preload-1N,1-Compress,0.500,11.099,-0.011,1.049
Preload-1N,1-Compress,0.510,11.099,-0.011,1.060
Preload-1N,1-Compress,0.520,11.099,-0.011,1.039
Preload-1N,1-Compress,0.530,11.099,-0.011,1.060
Preload-1N,1-Compress,0.540,11.099,-0.011,1.049
Preload-1N,1-Compress,0.550,11.099,-0.011,1.049
Preload-1N,1-Compress,0.560,11.099,-0.011,1.060
Preload-1N,1-Compress,0.570,11.099,-0.011,1.060
Preload-1N,1-Compress,0.580,11.099,-0.011,1.049
Preload-1N,1-Compress,0.590,11.099,-0.011,1.049
Preload-1N,1-Compress,0.600,11.099,-0.011,1.049
Preload-1N,1-Compress,0.610,11.099,-0.011,1.049
Preload-1N,1-Compress,0.620,11.099,-0.011,1.060
Preload-1N,1-Compress,0.630,11.099,-0.011,1.049
Preload-1N,1-Compress,0.640,11.099,-0.011,1.049
Preload-1N,1-Compress,0.650,11.099,-0.011,1.060
Preload-1N,1-Compress,0.660,11.099,-0.011,1.060
Preload-1N,1-Compress,0.670,11.099,-0.011,1.060
Preload-1N,1-Compress,0.680,11.099,-0.011,1.060
Preload-1N,1-Compress,0.690,11.099,-0.011,1.060
Preload-1N,1-Compress,0.700,11.099,-0.011,1.060
Preload-1N,1-Compress,0.710,11.099,-0.011,1.060
Preload-1N,1-Compress,0.720,11.099,-0.011,1.060
Preload-1N,1-Compress,0.730,11.099,-0.011,1.049
Preload-1N,1-Compress,0.740,11.099,-0.011,1.049
Preload-1N,1-Compress,0.750,11.099,-0.011,1.049
Preload-1N,1-Compress,0.760,11.099,-0.011,1.049
Preload-1N,1-Compress,0.770,11.099,-0.011,1.049
Preload-1N,1-Compress,0.780,11.099,-0.011,1.049
Preload-1N,1-Compress,0.790,11.099,-0.011,1.049
Preload-1N,1-Compress,0.800,11.099,-0.011,1.049
Preload-1N,1-Compress,0.810,11.099,-0.011,1.028
Preload-1N,1-Compress,0.820,11.099,-0.011,1.039
Preload-1N,1-Compress,0.830,11.099,-0.011,1.028
Preload-1N,1-Compress,0.840,11.099,-0.011,1.028
Preload-1N,1-Compress,0.850,11.099,-0.011,1.028
Preload-1N,1-Compress,0.860,11.099,-0.011,1.039
