SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.907,-0.002,1.293
Preload-1N,1-Compress,0.010,11.91,-0.005,1.251
Preload-1N,1-Compress,0.020,11.913,-0.008,1.198
Preload-1N,1-Compress,0.030,11.913,-0.008,1.187
Preload-1N,1-Compress,0.040,11.915,-0.01,1.176
Preload-1N,1-Compress,0.050,11.916,-0.011,1.155
Preload-1N,1-Compress,0.060,11.918,-0.013,1.134
Preload-1N,1-Compress,0.070,11.918,-0.013,1.123
Preload-1N,1-Compress,0.080,11.919,-0.014,1.123
Preload-1N,1-Compress,0.090,11.919,-0.014,1.113
Preload-1N,1-Compress,0.100,11.921,-0.016,1.113
Preload-1N,1-Compress,0.110,11.921,-0.016,1.113
Preload-1N,1-Compress,0.120,11.921,-0.016,1.092
Preload-1N,1-Compress,0.130,11.921,-0.016,1.102
Preload-1N,1-Compress,0.140,11.922,-0.017,1.102
Preload-1N,1-Compress,0.150,11.922,-0.017,1.092
Preload-1N,1-Compress,0.160,11.922,-0.017,1.092
Preload-1N,1-Compress,0.170,11.922,-0.017,1.081
Preload-1N,1-Compress,0.180,11.922,-0.017,1.102
Preload-1N,1-Compress,0.190,11.922,-0.017,1.102
Preload-1N,1-Compress,0.200,11.922,-0.017,1.102
Preload-1N,1-Compress,0.210,11.922,-0.017,1.102
Preload-1N,1-Compress,0.220,11.922,-0.017,1.102
Preload-1N,1-Compress,0.230,11.922,-0.017,1.102
Preload-1N,1-Compress,0.240,11.922,-0.017,1.102
Preload-1N,1-Compress,0.250,11.922,-0.017,1.113
Preload-1N,1-Compress,0.260,11.922,-0.017,1.102
Preload-1N,1-Compress,0.270,11.922,-0.017,1.113
Preload-1N,1-Compress,0.280,11.922,-0.017,1.102
Preload-1N,1-Compress,0.290,11.922,-0.017,1.113
Preload-1N,1-Compress,0.300,11.922,-0.017,1.113
Preload-1N,1-Compress,0.310,11.922,-0.017,1.113
Preload-1N,1-Compress,0.320,11.922,-0.017,1.113
Preload-1N,1-Compress,0.330,11.922,-0.017,1.102
Preload-1N,1-Compress,0.340,11.922,-0.017,1.102
Preload-1N,1-Compress,0.350,11.922,-0.017,1.102
Preload-1N,1-Compress,0.360,11.922,-0.017,1.102
Preload-1N,1-Compress,0.370,11.922,-0.017,1.102
Preload-1N,1-Compress,0.380,11.922,-0.017,1.102
Preload-1N,1-Compress,0.390,11.922,-0.017,1.102
Preload-1N,1-Compress,0.400,11.922,-0.017,1.102
Preload-1N,1-Compress,0.410,11.922,-0.017,1.102
Preload-1N,1-Compress,0.420,11.922,-0.017,1.102
Preload-1N,1-Compress,0.430,11.922,-0.017,1.102
Preload-1N,1-Compress,0.440,11.922,-0.017,1.102
Preload-1N,1-Compress,0.450,11.922,-0.017,1.102
Preload-1N,1-Compress,0.460,11.922,-0.017,1.092
Preload-1N,1-Compress,0.470,11.922,-0.017,1.102
Preload-1N,1-Compress,0.480,11.922,-0.017,1.113
Preload-1N,1-Compress,0.490,11.922,-0.017,1.113
Preload-1N,1-Compress,0.500,11.922,-0.017,1.113
Preload-1N,1-Compress,0.510,11.922,-0.017,1.113
Preload-1N,1-Compress,0.520,11.922,-0.017,1.113
Preload-1N,1-Compress,0.530,11.922,-0.017,1.102
Preload-1N,1-Compress,0.540,11.922,-0.017,1.113
Preload-1N,1-Compress,0.550,11.922,-0.017,1.113
Preload-1N,1-Compress,0.560,11.922,-0.017,1.113
Preload-1N,1-Compress,0.570,11.922,-0.017,1.102
Preload-1N,1-Compress,0.580,11.922,-0.017,1.113
Preload-1N,1-Compress,0.590,11.922,-0.017,1.113
Preload-1N,1-Compress,0.600,11.922,-0.017,1.113
Preload-1N,1-Compress,0.610,11.922,-0.017,1.113
Preload-1N,1-Compress,0.620,11.922,-0.017,1.113
Preload-1N,1-Compress,0.630,11.922,-0.017,1.102
Preload-1N,1-Compress,0.640,11.922,-0.017,1.102
Preload-1N,1-Compress,0.650,11.922,-0.017,1.102
Preload-1N,1-Compress,0.660,11.922,-0.017,1.102
Preload-1N,1-Compress,0.670,11.922,-0.017,1.092
Preload-1N,1-Compress,0.680,11.922,-0.017,1.102
Preload-1N,1-Compress,0.690,11.922,-0.017,1.102
Preload-1N,1-Compress,0.700,11.922,-0.017,1.102
Preload-1N,1-Compress,0.710,11.922,-0.017,1.092
Preload-1N,1-Compress,0.720,11.922,-0.017,1.102
