SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.362,-0.003,1.346
Preload-1N,1-Compress,0.010,11.365,-0.006,1.346
Preload-1N,1-Compress,0.020,11.368,-0.009,1.240
Preload-1N,1-Compress,0.030,11.369,-0.01,1.272
Preload-1N,1-Compress,0.040,11.371,-0.012,1.261
Preload-1N,1-Compress,0.050,11.372,-0.013,1.229
Preload-1N,1-Compress,0.060,11.372,-0.013,1.208
Preload-1N,1-Compress,0.070,11.374,-0.015,1.208
Preload-1N,1-Compress,0.080,11.374,-0.015,1.198
Preload-1N,1-Compress,0.090,11.376,-0.017,1.198
Preload-1N,1-Compress,0.100,11.376,-0.017,1.187
Preload-1N,1-Compress,0.110,11.376,-0.017,1.176
Preload-1N,1-Compress,0.120,11.377,-0.018,1.176
Preload-1N,1-Compress,0.130,11.377,-0.018,1.176
Preload-1N,1-Compress,0.140,11.377,-0.018,1.166
Preload-1N,1-Compress,0.150,11.377,-0.018,1.187
Preload-1N,1-Compress,0.160,11.379,-0.02,1.176
Preload-1N,1-Compress,0.170,11.379,-0.02,1.176
Preload-1N,1-Compress,0.180,11.379,-0.02,1.166
Preload-1N,1-Compress,0.190,11.379,-0.02,1.176
Preload-1N,1-Compress,0.200,11.379,-0.02,1.166
Preload-1N,1-Compress,0.210,11.379,-0.02,1.155
Preload-1N,1-Compress,0.220,11.379,-0.02,1.166
Preload-1N,1-Compress,0.230,11.379,-0.02,1.166
Preload-1N,1-Compress,0.240,11.379,-0.02,1.166
Preload-1N,1-Compress,0.250,11.379,-0.02,1.166
Preload-1N,1-Compress,0.260,11.379,-0.02,1.166
Preload-1N,1-Compress,0.270,11.379,-0.02,1.166
Preload-1N,1-Compress,0.280,11.379,-0.02,1.166
Preload-1N,1-Compress,0.290,11.379,-0.02,1.166
Preload-1N,1-Compress,0.300,11.379,-0.02,1.155
Preload-1N,1-Compress,0.310,11.379,-0.02,1.155
Preload-1N,1-Compress,0.320,11.379,-0.02,1.155
Preload-1N,1-Compress,0.330,11.379,-0.02,1.155
Preload-1N,1-Compress,0.340,11.379,-0.02,1.155
Preload-1N,1-Compress,0.350,11.379,-0.02,1.155
Preload-1N,1-Compress,0.360,11.379,-0.02,1.155
Preload-1N,1-Compress,0.370,11.379,-0.02,1.155
Preload-1N,1-Compress,0.380,11.379,-0.02,1.155
Preload-1N,1-Compress,0.390,11.379,-0.02,1.155
Preload-1N,1-Compress,0.400,11.379,-0.02,1.155
Preload-1N,1-Compress,0.410,11.379,-0.02,1.155
Preload-1N,1-Compress,0.420,11.379,-0.02,1.155
Preload-1N,1-Compress,0.430,11.379,-0.02,1.155
Preload-1N,1-Compress,0.440,11.379,-0.02,1.155
