SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,12.147,0.002,0.943
Preload-1N,1-Compress,0.010,12.147,0.002,0.954
Preload-1N,1-Compress,0.020,12.147,0.002,0.954
Preload-1N,1-Compress,0.030,12.147,0.002,0.965
Preload-1N,1-Compress,0.040,12.147,0.002,0.954
Preload-1N,1-Compress,0.050,12.147,0.002,0.965
Preload-1N,1-Compress,0.060,12.147,0.002,0.965
Preload-1N,1-Compress,0.070,12.147,0.002,0.965
Preload-1N,1-Compress,0.080,12.147,0.002,0.965
Preload-1N,1-Compress,0.090,12.147,0.002,0.965
Preload-1N,1-Compress,0.100,12.147,0.002,0.965
Preload-1N,1-Compress,0.110,12.147,0.002,0.965
Preload-1N,1-Compress,0.120,12.147,0.002,0.954
Preload-1N,1-Compress,0.130,12.147,0.002,0.954
Preload-1N,1-Compress,0.140,12.147,0.002,0.954
Preload-1N,1-Compress,0.150,12.147,0.002,0.965
Preload-1N,1-Compress,0.160,12.147,0.002,0.975
Preload-1N,1-Compress,0.170,12.147,0.002,0.975
Preload-1N,1-Compress,0.180,12.147,0.002,0.975
Preload-1N,1-Compress,0.190,12.147,0.002,0.975
Preload-1N,1-Compress,0.200,12.147,0.002,0.965
Preload-1N,1-Compress,0.210,12.147,0.002,0.975
Preload-1N,1-Compress,0.220,12.147,0.002,0.965
Preload-1N,1-Compress,0.230,12.147,0.002,0.965
Preload-1N,1-Compress,0.240,12.147,0.002,0.965
Preload-1N,1-Compress,0.250,12.147,0.002,0.965
Preload-1N,1-Compress,0.260,12.147,0.002,0.965
Preload-1N,1-Compress,0.270,12.147,0.002,0.965
Preload-1N,1-Compress,0.280,12.147,0.002,0.965
Preload-1N,1-Compress,0.290,12.147,0.002,0.965
Preload-1N,1-Compress,0.300,12.147,0.002,0.965
Preload-1N,1-Compress,0.310,12.147,0.002,0.954
Preload-1N,1-Compress,0.320,12.147,0.002,0.943
Preload-1N,1-Compress,0.330,12.147,0.002,0.954
Preload-1N,1-Compress,0.340,12.147,0.002,0.943
Preload-1N,1-Compress,0.350,12.147,0.002,0.943
Preload-1N,1-Compress,0.360,12.147,0.002,0.943
Preload-1N,1-Compress,0.370,12.147,0.002,0.954
Preload-1N,1-Compress,0.380,12.147,0.002,0.943
Preload-1N,1-Compress,0.390,12.147,0.002,0.943
Preload-1N,1-Compress,0.400,12.146,0.003,0.943
Preload-1N,1-Compress,0.410,12.146,0.003,0.943
Preload-1N,1-Compress,0.420,12.146,0.003,0.943
Preload-1N,1-Compress,0.430,12.146,0.003,0.954
Preload-1N,1-Compress,0.440,12.146,0.003,0.954
Preload-1N,1-Compress,0.450,12.146,0.003,0.965
Preload-1N,1-Compress,0.460,12.146,0.003,0.986
Preload-1N,1-Compress,0.470,12.146,0.003,0.986
Preload-1N,1-Compress,0.480,12.146,0.003,0.975
Preload-1N,1-Compress,0.490,12.146,0.003,0.975
Preload-1N,1-Compress,0.500,12.146,0.003,0.986
Preload-1N,1-Compress,0.510,12.146,0.003,0.986
Preload-1N,1-Compress,0.520,12.146,0.003,0.975
Preload-1N,1-Compress,0.530,12.146,0.003,0.975
Preload-1N,1-Compress,0.540,12.146,0.003,0.975
Preload-1N,1-Compress,0.550,12.146,0.003,0.975
Preload-1N,1-Compress,0.560,12.146,0.003,0.965
Preload-1N,1-Compress,0.570,12.146,0.003,0.975
Preload-1N,1-Compress,0.580,12.146,0.003,0.975
Preload-1N,1-Compress,0.590,12.146,0.003,0.965
Preload-1N,1-Compress,0.600,12.146,0.003,0.975
Preload-1N,1-Compress,0.610,12.146,0.003,0.954
Preload-1N,1-Compress,0.620,12.146,0.003,0.954
Preload-1N,1-Compress,0.630,12.146,0.003,0.954
Preload-1N,1-Compress,0.640,12.146,0.003,0.954
Preload-1N,1-Compress,0.650,12.146,0.003,0.954
Preload-1N,1-Compress,0.660,12.144,0.005,0.943
Preload-1N,1-Compress,0.670,12.144,0.005,0.954
Preload-1N,1-Compress,0.680,12.144,0.005,0.954
Preload-1N,1-Compress,0.690,12.144,0.005,0.965
Preload-1N,1-Compress,0.700,12.144,0.005,0.975
Preload-1N,1-Compress,0.710,12.144,0.005,0.975
Preload-1N,1-Compress,0.720,12.144,0.005,0.986
Preload-1N,1-Compress,0.730,12.144,0.005,0.975
Preload-1N,1-Compress,0.740,12.144,0.005,0.975
Preload-1N,1-Compress,0.750,12.144,0.005,0.975
Preload-1N,1-Compress,0.760,12.144,0.005,0.996
Preload-1N,1-Compress,0.770,12.144,0.005,0.986
Preload-1N,1-Compress,0.780,12.144,0.005,0.996
Preload-1N,1-Compress,0.790,12.144,0.005,0.986
Preload-1N,1-Compress,0.800,12.146,0.003,0.986
Preload-1N,1-Compress,0.810,12.146,0.003,0.975
Preload-1N,1-Compress,0.820,12.147,0.002,0.933
Preload-1N,1-Compress,0.830,12.147,0.002,0.954
Preload-1N,1-Compress,0.840,12.146,0.003,0.986
Preload-1N,1-Compress,0.850,12.146,0.003,1.007
Preload-1N,1-Compress,0.860,12.144,0.005,1.028
Preload-1N,1-Compress,0.870,12.146,0.003,1.028
Preload-1N,1-Compress,0.880,12.146,0.003,1.007
Preload-1N,1-Compress,0.890,12.147,0.002,0.986
Preload-1N,1-Compress,0.900,12.149,-0,0.975
Preload-1N,1-Compress,0.910,12.149,-0,0.954
Preload-1N,1-Compress,0.920,12.147,0.002,0.933
Preload-1N,1-Compress,0.930,12.147,0.002,0.933
Preload-1N,1-Compress,0.940,12.147,0.002,0.933
Preload-1N,1-Compress,0.950,12.147,0.002,0.922
Preload-1N,1-Compress,0.960,12.147,0.002,0.922
Preload-1N,1-Compress,0.970,12.147,0.002,0.922
Preload-1N,1-Compress,0.980,12.146,0.003,0.912
Preload-1N,1-Compress,0.990,12.146,0.003,0.922
Preload-1N,1-Compress,1.000,12.146,0.003,0.922
Preload-1N,1-Compress,1.010,12.144,0.005,0.943
Preload-1N,1-Compress,1.020,12.144,0.005,0.933
Preload-1N,1-Compress,1.030,12.144,0.005,0.943
Preload-1N,1-Compress,1.040,12.144,0.005,0.954
Preload-1N,1-Compress,1.050,12.143,0.006,0.954
Preload-1N,1-Compress,1.060,12.143,0.006,0.954
Preload-1N,1-Compress,1.070,12.143,0.006,0.975
Preload-1N,1-Compress,1.080,12.143,0.006,0.996
Preload-1N,1-Compress,1.090,12.143,0.006,0.986
Preload-1N,1-Compress,1.100,12.143,0.006,0.975
Preload-1N,1-Compress,1.110,12.143,0.006,0.986
Preload-1N,1-Compress,1.120,12.143,0.006,0.986
Preload-1N,1-Compress,1.130,12.143,0.006,0.986
Preload-1N,1-Compress,1.140,12.143,0.006,0.986
Preload-1N,1-Compress,1.150,12.143,0.006,0.986
Preload-1N,1-Compress,1.160,12.143,0.006,0.986
Preload-1N,1-Compress,1.170,12.143,0.006,0.986
Preload-1N,1-Compress,1.180,12.143,0.006,0.986
Preload-1N,1-Compress,1.190,12.143,0.006,0.986
Preload-1N,1-Compress,1.200,12.143,0.006,0.986
Preload-1N,1-Compress,1.210,12.143,0.006,0.975
Preload-1N,1-Compress,1.220,12.143,0.006,0.954
Preload-1N,1-Compress,1.230,12.143,0.006,0.954
Preload-1N,1-Compress,1.240,12.143,0.006,0.965
Preload-1N,1-Compress,1.250,12.143,0.006,0.954
Preload-1N,1-Compress,1.260,12.143,0.006,0.954
Preload-1N,1-Compress,1.270,12.143,0.006,0.954
Preload-1N,1-Compress,1.280,12.141,0.008,0.965
Preload-1N,1-Compress,1.290,12.141,0.008,0.954
Preload-1N,1-Compress,1.300,12.141,0.008,0.975
Preload-1N,1-Compress,1.310,12.141,0.008,0.965
Preload-1N,1-Compress,1.320,12.141,0.008,0.975
Preload-1N,1-Compress,1.330,12.141,0.008,0.975
Preload-1N,1-Compress,1.340,12.141,0.008,0.996
Preload-1N,1-Compress,1.350,12.141,0.008,0.996
Preload-1N,1-Compress,1.360,12.141,0.008,0.986
Preload-1N,1-Compress,1.370,12.141,0.008,0.996
Preload-1N,1-Compress,1.380,12.141,0.008,1.007
Preload-1N,1-Compress,1.390,12.141,0.008,0.996
Preload-1N,1-Compress,1.400,12.143,0.006,0.996
Preload-1N,1-Compress,1.410,12.143,0.006,0.986
Preload-1N,1-Compress,1.420,12.143,0.006,0.996
Preload-1N,1-Compress,1.430,12.143,0.006,0.965
Preload-1N,1-Compress,1.440,12.141,0.008,0.986
Preload-1N,1-Compress,1.450,12.141,0.008,0.975
Preload-1N,1-Compress,1.460,12.141,0.008,0.996
Preload-1N,1-Compress,1.470,12.141,0.008,0.986
Preload-1N,1-Compress,1.480,12.143,0.006,0.986
Preload-1N,1-Compress,1.490,12.143,0.006,0.986
Preload-1N,1-Compress,1.500,12.143,0.006,0.965
Preload-1N,1-Compress,1.510,12.143,0.006,0.965
Preload-1N,1-Compress,1.520,12.143,0.006,0.943
Preload-1N,1-Compress,1.530,12.143,0.006,0.943
Preload-1N,1-Compress,1.540,12.143,0.006,0.943
Preload-1N,1-Compress,1.550,12.143,0.006,0.943
Preload-1N,1-Compress,1.560,12.143,0.006,0.943
Preload-1N,1-Compress,1.570,12.143,0.006,0.933
Preload-1N,1-Compress,1.580,12.141,0.008,0.943
Preload-1N,1-Compress,1.590,12.141,0.008,0.954
Preload-1N,1-Compress,1.600,12.141,0.008,0.943
Preload-1N,1-Compress,1.610,12.141,0.008,0.954
Preload-1N,1-Compress,1.620,12.141,0.008,0.943
Preload-1N,1-Compress,1.630,12.141,0.008,0.965
Preload-1N,1-Compress,1.640,12.141,0.008,0.954
Preload-1N,1-Compress,1.650,12.14,0.009,0.965
Preload-1N,1-Compress,1.660,12.14,0.009,0.965
Preload-1N,1-Compress,1.670,12.14,0.009,0.996
Preload-1N,1-Compress,1.680,12.14,0.009,0.986
Preload-1N,1-Compress,1.690,12.14,0.009,1.007
Preload-1N,1-Compress,1.700,12.141,0.008,0.986
Preload-1N,1-Compress,1.710,12.141,0.008,0.986
Preload-1N,1-Compress,1.720,12.141,0.008,0.986
Preload-1N,1-Compress,1.730,12.141,0.008,0.975
Preload-1N,1-Compress,1.740,12.141,0.008,0.975
Preload-1N,1-Compress,1.750,12.14,0.009,0.975
Preload-1N,1-Compress,1.760,12.14,0.009,0.975
Preload-1N,1-Compress,1.770,12.14,0.009,0.975
Preload-1N,1-Compress,1.780,12.14,0.009,0.996
Preload-1N,1-Compress,1.790,12.14,0.009,0.996
Preload-1N,1-Compress,1.800,12.14,0.009,0.996
Preload-1N,1-Compress,1.810,12.14,0.009,0.986
Preload-1N,1-Compress,1.820,12.14,0.009,0.975
Preload-1N,1-Compress,1.830,12.14,0.009,0.965
Preload-1N,1-Compress,1.840,12.14,0.009,0.975
Preload-1N,1-Compress,1.850,12.14,0.009,0.975
Preload-1N,1-Compress,1.860,12.14,0.009,0.965
Preload-1N,1-Compress,1.870,12.14,0.009,0.965
Preload-1N,1-Compress,1.880,12.14,0.009,0.965
Preload-1N,1-Compress,1.890,12.14,0.009,0.965
Preload-1N,1-Compress,1.900,12.14,0.009,0.965
Preload-1N,1-Compress,1.910,12.14,0.009,0.954
Preload-1N,1-Compress,1.920,12.14,0.009,0.954
Preload-1N,1-Compress,1.930,12.14,0.009,0.954
Preload-1N,1-Compress,1.940,12.14,0.009,0.965
Preload-1N,1-Compress,1.950,12.14,0.009,0.965
Preload-1N,1-Compress,1.960,12.14,0.009,0.965
Preload-1N,1-Compress,1.970,12.14,0.009,0.975
Preload-1N,1-Compress,1.980,12.14,0.009,0.975
Preload-1N,1-Compress,1.990,12.14,0.009,0.975
Preload-1N,1-Compress,2.000,12.14,0.009,0.965
Preload-1N,1-Compress,2.010,12.14,0.009,0.965
Preload-1N,1-Compress,2.020,12.14,0.009,0.975
Preload-1N,1-Compress,2.030,12.14,0.009,0.965
Preload-1N,1-Compress,2.040,12.14,0.009,0.975
Preload-1N,1-Compress,2.050,12.14,0.009,0.975
Preload-1N,1-Compress,2.060,12.14,0.009,0.965
Preload-1N,1-Compress,2.070,12.14,0.009,0.965
Preload-1N,1-Compress,2.080,12.14,0.009,0.975
Preload-1N,1-Compress,2.090,12.14,0.009,0.965
