SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,12.404,-0.002,1.113
Preload-1N,1-Compress,0.010,12.404,-0.002,1.113
Preload-1N,1-Compress,0.020,12.405,-0.003,1.081
Preload-1N,1-Compress,0.030,12.408,-0.006,1.028
Preload-1N,1-Compress,0.040,12.41,-0.008,1.049
Preload-1N,1-Compress,0.050,12.41,-0.008,0.996
Preload-1N,1-Compress,0.060,12.41,-0.008,1.007
Preload-1N,1-Compress,0.070,12.408,-0.006,1.028
Preload-1N,1-Compress,0.080,12.408,-0.006,1.039
Preload-1N,1-Compress,0.090,12.408,-0.006,1.070
Preload-1N,1-Compress,0.100,12.408,-0.006,1.081
Preload-1N,1-Compress,0.110,12.408,-0.006,1.102
Preload-1N,1-Compress,0.120,12.408,-0.006,1.113
Preload-1N,1-Compress,0.130,12.408,-0.006,1.123
Preload-1N,1-Compress,0.140,12.41,-0.008,1.134
Preload-1N,1-Compress,0.150,12.41,-0.008,1.134
Preload-1N,1-Compress,0.160,12.41,-0.008,1.145
Preload-1N,1-Compress,0.170,12.41,-0.008,1.134
Preload-1N,1-Compress,0.180,12.41,-0.008,1.145
Preload-1N,1-Compress,0.190,12.41,-0.008,1.123
Preload-1N,1-Compress,0.200,12.412,-0.01,1.134
Preload-1N,1-Compress,0.210,12.412,-0.01,1.134
Preload-1N,1-Compress,0.220,12.412,-0.01,1.145
Preload-1N,1-Compress,0.230,12.412,-0.01,1.145
Preload-1N,1-Compress,0.240,12.413,-0.011,1.134
Preload-1N,1-Compress,0.250,12.413,-0.011,1.155
Preload-1N,1-Compress,0.260,12.413,-0.011,1.134
Preload-1N,1-Compress,0.270,12.415,-0.013,1.134
Preload-1N,1-Compress,0.280,12.415,-0.013,1.113
Preload-1N,1-Compress,0.290,12.415,-0.013,1.102
Preload-1N,1-Compress,0.300,12.415,-0.013,1.102
Preload-1N,1-Compress,0.310,12.415,-0.013,1.081
Preload-1N,1-Compress,0.320,12.416,-0.014,1.060
Preload-1N,1-Compress,0.330,12.416,-0.014,1.028
Preload-1N,1-Compress,0.340,12.416,-0.014,1.007
Preload-1N,1-Compress,0.350,12.416,-0.014,1.007
Preload-1N,1-Compress,0.360,12.415,-0.013,0.986
Preload-1N,1-Compress,0.370,12.415,-0.013,0.996
Preload-1N,1-Compress,0.380,12.415,-0.013,0.996
Preload-1N,1-Compress,0.390,12.415,-0.013,0.996
Preload-1N,1-Compress,0.400,12.415,-0.013,0.986
Preload-1N,1-Compress,0.410,12.415,-0.013,0.996
Preload-1N,1-Compress,0.420,12.413,-0.011,0.975
Preload-1N,1-Compress,0.430,12.412,-0.01,0.954
Preload-1N,1-Compress,0.440,12.41,-0.008,1.039
Preload-1N,1-Compress,0.450,12.407,-0.005,1.018
Preload-1N,1-Compress,0.460,12.405,-0.003,1.081
Preload-1N,1-Compress,0.470,12.407,-0.005,1.060
Preload-1N,1-Compress,0.480,12.408,-0.006,1.049
Preload-1N,1-Compress,0.490,12.408,-0.006,1.039
Preload-1N,1-Compress,0.500,12.41,-0.008,1.007
Preload-1N,1-Compress,0.510,12.41,-0.008,1.007
Preload-1N,1-Compress,0.520,12.412,-0.01,0.933
Preload-1N,1-Compress,0.530,12.41,-0.008,0.933
Preload-1N,1-Compress,0.540,12.407,-0.005,0.922
Preload-1N,1-Compress,0.550,12.405,-0.003,0.922
Preload-1N,1-Compress,0.560,12.402,-0,0.890
Preload-1N,1-Compress,0.570,12.399,0.003,0.901
Preload-1N,1-Compress,0.580,12.396,0.006,0.912
Preload-1N,1-Compress,0.590,12.393,0.009,0.912
Preload-1N,1-Compress,0.600,12.388,0.014,0.975
Preload-1N,1-Compress,0.610,12.383,0.019,0.986
Preload-1N,1-Compress,0.620,12.38,0.022,1.070
Preload-1N,1-Compress,0.630,12.383,0.019,1.039
Preload-1N,1-Compress,0.640,12.385,0.017,0.954
Preload-1N,1-Compress,0.650,12.388,0.014,0.954
Preload-1N,1-Compress,0.660,12.39,0.012,0.933
Preload-1N,1-Compress,0.670,12.385,0.017,0.986
Preload-1N,1-Compress,0.680,12.382,0.02,1.049
Preload-1N,1-Compress,0.690,12.383,0.019,1.060
Preload-1N,1-Compress,0.700,12.385,0.017,1.028
Preload-1N,1-Compress,0.710,12.388,0.014,1.018
Preload-1N,1-Compress,0.720,12.39,0.012,1.018
Preload-1N,1-Compress,0.730,12.391,0.011,1.039
Preload-1N,1-Compress,0.740,12.391,0.011,1.049
Preload-1N,1-Compress,0.750,12.393,0.009,1.113
Preload-1N,1-Compress,0.760,12.394,0.008,1.155
Preload-1N,1-Compress,0.770,12.394,0.008,1.187
Preload-1N,1-Compress,0.780,12.394,0.008,1.229
Preload-1N,1-Compress,0.790,12.394,0.008,1.219
Preload-1N,1-Compress,0.800,12.396,0.006,1.198
Preload-1N,1-Compress,0.810,12.397,0.005,1.145
Preload-1N,1-Compress,0.820,12.399,0.003,1.145
Preload-1N,1-Compress,0.830,12.401,0.001,1.102
Preload-1N,1-Compress,0.840,12.402,-0,1.092
Preload-1N,1-Compress,0.850,12.402,-0,1.049
Preload-1N,1-Compress,0.860,12.404,-0.002,1.018
Preload-1N,1-Compress,0.870,12.404,-0.002,0.912
Preload-1N,1-Compress,0.880,12.405,-0.003,0.869
Preload-1N,1-Compress,0.890,12.404,-0.002,0.869
Preload-1N,1-Compress,0.900,12.402,-0,0.848
Preload-1N,1-Compress,0.910,12.401,0.001,0.859
Preload-1N,1-Compress,0.920,12.397,0.005,0.859
Preload-1N,1-Compress,0.930,12.394,0.008,0.901
Preload-1N,1-Compress,0.940,12.391,0.011,0.922
Preload-1N,1-Compress,0.950,12.388,0.014,0.975
Preload-1N,1-Compress,0.960,12.385,0.017,1.081
Preload-1N,1-Compress,0.970,12.387,0.015,1.049
Preload-1N,1-Compress,0.980,12.39,0.012,1.049
Preload-1N,1-Compress,0.990,12.391,0.011,1.039
Preload-1N,1-Compress,1.000,12.393,0.009,0.996
Preload-1N,1-Compress,1.010,12.394,0.008,1.018
Preload-1N,1-Compress,1.020,12.396,0.006,1.060
Preload-1N,1-Compress,1.030,12.396,0.006,1.092
Preload-1N,1-Compress,1.040,12.397,0.005,1.134
Preload-1N,1-Compress,1.050,12.397,0.005,1.155
Preload-1N,1-Compress,1.060,12.397,0.005,1.176
Preload-1N,1-Compress,1.070,12.397,0.005,1.198
Preload-1N,1-Compress,1.080,12.397,0.005,1.208
Preload-1N,1-Compress,1.090,12.397,0.005,1.198
Preload-1N,1-Compress,1.100,12.399,0.003,1.198
Preload-1N,1-Compress,1.110,12.399,0.003,1.219
Preload-1N,1-Compress,1.120,12.401,0.001,1.176
Preload-1N,1-Compress,1.130,12.402,-0,1.176
Preload-1N,1-Compress,1.140,12.404,-0.002,1.028
Preload-1N,1-Compress,1.150,12.405,-0.003,0.954
Preload-1N,1-Compress,1.160,12.405,-0.003,0.912
Preload-1N,1-Compress,1.170,12.405,-0.003,0.912
Preload-1N,1-Compress,1.180,12.405,-0.003,0.912
Preload-1N,1-Compress,1.190,12.405,-0.003,0.922
Preload-1N,1-Compress,1.200,12.404,-0.002,0.954
Preload-1N,1-Compress,1.210,12.404,-0.002,0.943
Preload-1N,1-Compress,1.220,12.402,-0,0.975
Preload-1N,1-Compress,1.230,12.402,-0,1.070
Preload-1N,1-Compress,1.240,12.402,-0,1.039
Preload-1N,1-Compress,1.250,12.404,-0.002,1.039
Preload-1N,1-Compress,1.260,12.404,-0.002,1.049
Preload-1N,1-Compress,1.270,12.404,-0.002,1.028
Preload-1N,1-Compress,1.280,12.404,-0.002,1.007
Preload-1N,1-Compress,1.290,12.404,-0.002,0.965
Preload-1N,1-Compress,1.300,12.402,-0,0.943
Preload-1N,1-Compress,1.310,12.402,-0,0.922
Preload-1N,1-Compress,1.320,12.401,0.001,0.922
Preload-1N,1-Compress,1.330,12.399,0.003,0.890
Preload-1N,1-Compress,1.340,12.397,0.005,0.912
Preload-1N,1-Compress,1.350,12.396,0.006,0.890
Preload-1N,1-Compress,1.360,12.394,0.008,0.912
Preload-1N,1-Compress,1.370,12.391,0.011,0.912
Preload-1N,1-Compress,1.380,12.388,0.014,0.933
Preload-1N,1-Compress,1.390,12.385,0.017,0.965
Preload-1N,1-Compress,1.400,12.383,0.019,0.986
Preload-1N,1-Compress,1.410,12.38,0.022,1.039
Preload-1N,1-Compress,1.420,12.379,0.023,1.028
Preload-1N,1-Compress,1.430,12.38,0.022,0.986
Preload-1N,1-Compress,1.440,12.38,0.022,0.943
Preload-1N,1-Compress,1.450,12.379,0.023,0.986
Preload-1N,1-Compress,1.460,12.376,0.026,0.986
Preload-1N,1-Compress,1.470,12.377,0.025,1.018
Preload-1N,1-Compress,1.480,12.376,0.026,0.954
Preload-1N,1-Compress,1.490,12.374,0.028,0.996
Preload-1N,1-Compress,1.500,12.372,0.03,1.018
Preload-1N,1-Compress,1.510,12.374,0.028,1.007
Preload-1N,1-Compress,1.520,12.374,0.028,0.986
Preload-1N,1-Compress,1.530,12.376,0.026,0.965
Preload-1N,1-Compress,1.540,12.377,0.025,0.954
Preload-1N,1-Compress,1.550,12.376,0.026,0.954
Preload-1N,1-Compress,1.560,12.374,0.028,0.954
Preload-1N,1-Compress,1.570,12.372,0.03,0.975
Preload-1N,1-Compress,1.580,12.371,0.031,1.018
Preload-1N,1-Compress,1.590,12.368,0.034,1.028
Preload-1N,1-Compress,1.600,12.366,0.036,1.070
Preload-1N,1-Compress,1.610,12.368,0.034,1.070
Preload-1N,1-Compress,1.620,12.368,0.034,1.070
Preload-1N,1-Compress,1.630,12.369,0.033,1.049
Preload-1N,1-Compress,1.640,12.369,0.033,1.028
Preload-1N,1-Compress,1.650,12.371,0.031,1.028
Preload-1N,1-Compress,1.660,12.371,0.031,1.007
Preload-1N,1-Compress,1.670,12.372,0.03,0.996
Preload-1N,1-Compress,1.680,12.372,0.03,0.986
Preload-1N,1-Compress,1.690,12.371,0.031,0.975
Preload-1N,1-Compress,1.700,12.369,0.033,0.996
Preload-1N,1-Compress,1.710,12.368,0.034,0.996
Preload-1N,1-Compress,1.720,12.366,0.036,1.070
Preload-1N,1-Compress,1.730,12.368,0.034,1.039
Preload-1N,1-Compress,1.740,12.368,0.034,1.028
Preload-1N,1-Compress,1.750,12.369,0.033,1.028
Preload-1N,1-Compress,1.760,12.369,0.033,0.986
Preload-1N,1-Compress,1.770,12.371,0.031,0.965
Preload-1N,1-Compress,1.780,12.369,0.033,0.965
Preload-1N,1-Compress,1.790,12.368,0.034,0.965
Preload-1N,1-Compress,1.800,12.366,0.036,0.996
