SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.78,-0.002,1.039
Preload-1N,1-Compress,0.010,11.78,-0.002,0.996
Preload-1N,1-Compress,0.020,11.78,-0.002,1.018
Preload-1N,1-Compress,0.030,11.78,-0.002,1.007
Preload-1N,1-Compress,0.040,11.78,-0.002,0.996
Preload-1N,1-Compress,0.050,11.78,-0.002,0.996
Preload-1N,1-Compress,0.060,11.78,-0.002,1.007
Preload-1N,1-Compress,0.070,11.78,-0.002,1.018
Preload-1N,1-Compress,0.080,11.78,-0.002,1.018
Preload-1N,1-Compress,0.090,11.78,-0.002,1.039
Preload-1N,1-Compress,0.100,11.78,-0.002,1.028
Preload-1N,1-Compress,0.110,11.78,-0.002,1.028
Preload-1N,1-Compress,0.120,11.78,-0.002,1.018
Preload-1N,1-Compress,0.130,11.78,-0.002,1.018
Preload-1N,1-Compress,0.140,11.78,-0.002,0.996
Preload-1N,1-Compress,0.150,11.78,-0.002,0.996
Preload-1N,1-Compress,0.160,11.78,-0.002,1.007
Preload-1N,1-Compress,0.170,11.78,-0.002,1.007
Preload-1N,1-Compress,0.180,11.78,-0.002,1.007
Preload-1N,1-Compress,0.190,11.78,-0.002,1.007
Preload-1N,1-Compress,0.200,11.779,-0.001,0.996
Preload-1N,1-Compress,0.210,11.779,-0.001,0.996
Preload-1N,1-Compress,0.220,11.779,-0.001,0.986
Preload-1N,1-Compress,0.230,11.779,-0.001,0.996
Preload-1N,1-Compress,0.240,11.777,0.001,0.986
Preload-1N,1-Compress,0.250,11.777,0.001,1.018
Preload-1N,1-Compress,0.260,11.777,0.001,1.007
Preload-1N,1-Compress,0.270,11.777,0.001,1.039
Preload-1N,1-Compress,0.280,11.777,0.001,1.028
Preload-1N,1-Compress,0.290,11.777,0.001,1.028
Preload-1N,1-Compress,0.300,11.777,0.001,1.028
Preload-1N,1-Compress,0.310,11.777,0.001,1.018
Preload-1N,1-Compress,0.320,11.777,0.001,1.018
Preload-1N,1-Compress,0.330,11.777,0.001,1.018
