SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.108,-0.002,1.409
Preload-1N,1-Compress,0.010,11.112,-0.006,1.356
Preload-1N,1-Compress,0.020,11.116,-0.01,1.335
Preload-1N,1-Compress,0.030,11.118,-0.012,1.378
Preload-1N,1-Compress,0.040,11.119,-0.013,1.378
Preload-1N,1-Compress,0.050,11.121,-0.015,1.356
Preload-1N,1-Compress,0.060,11.122,-0.016,1.367
Preload-1N,1-Compress,0.070,11.122,-0.016,1.346
Preload-1N,1-Compress,0.080,11.124,-0.018,1.314
Preload-1N,1-Compress,0.090,11.126,-0.02,1.282
Preload-1N,1-Compress,0.100,11.126,-0.02,1.240
Preload-1N,1-Compress,0.110,11.126,-0.02,1.198
Preload-1N,1-Compress,0.120,11.127,-0.021,1.176
Preload-1N,1-Compress,0.130,11.127,-0.021,1.155
Preload-1N,1-Compress,0.140,11.127,-0.021,1.155
Preload-1N,1-Compress,0.150,11.127,-0.021,1.166
Preload-1N,1-Compress,0.160,11.129,-0.023,1.166
Preload-1N,1-Compress,0.170,11.129,-0.023,1.145
Preload-1N,1-Compress,0.180,11.129,-0.023,1.145
Preload-1N,1-Compress,0.190,11.129,-0.023,1.145
Preload-1N,1-Compress,0.200,11.129,-0.023,1.145
Preload-1N,1-Compress,0.210,11.129,-0.023,1.145
Preload-1N,1-Compress,0.220,11.129,-0.023,1.145
Preload-1N,1-Compress,0.230,11.129,-0.023,1.155
Preload-1N,1-Compress,0.240,11.129,-0.023,1.187
Preload-1N,1-Compress,0.250,11.129,-0.023,1.176
Preload-1N,1-Compress,0.260,11.129,-0.023,1.187
Preload-1N,1-Compress,0.270,11.129,-0.023,1.176
Preload-1N,1-Compress,0.280,11.129,-0.023,1.176
Preload-1N,1-Compress,0.290,11.129,-0.023,1.166
Preload-1N,1-Compress,0.300,11.129,-0.023,1.166
Preload-1N,1-Compress,0.310,11.129,-0.023,1.166
Preload-1N,1-Compress,0.320,11.129,-0.023,1.166
Preload-1N,1-Compress,0.330,11.129,-0.023,1.155
Preload-1N,1-Compress,0.340,11.129,-0.023,1.155
Preload-1N,1-Compress,0.350,11.129,-0.023,1.155
Preload-1N,1-Compress,0.360,11.129,-0.023,1.166
Preload-1N,1-Compress,0.370,11.129,-0.023,1.166
Preload-1N,1-Compress,0.380,11.129,-0.023,1.166
Preload-1N,1-Compress,0.390,11.129,-0.023,1.155
Preload-1N,1-Compress,0.400,11.129,-0.023,1.145
Preload-1N,1-Compress,0.410,11.129,-0.023,1.145
Preload-1N,1-Compress,0.420,11.129,-0.023,1.145
Preload-1N,1-Compress,0.430,11.129,-0.023,1.155
Preload-1N,1-Compress,0.440,11.129,-0.023,1.145
Preload-1N,1-Compress,0.450,11.129,-0.023,1.155
Preload-1N,1-Compress,0.460,11.129,-0.023,1.145
Preload-1N,1-Compress,0.470,11.129,-0.023,1.155
Preload-1N,1-Compress,0.480,11.129,-0.023,1.155
Preload-1N,1-Compress,0.490,11.129,-0.023,1.155
Preload-1N,1-Compress,0.500,11.129,-0.023,1.155
Preload-1N,1-Compress,0.510,11.129,-0.023,1.145
Preload-1N,1-Compress,0.520,11.129,-0.023,1.155
Preload-1N,1-Compress,0.530,11.129,-0.023,1.155
Preload-1N,1-Compress,0.540,11.129,-0.023,1.166
Preload-1N,1-Compress,0.550,11.129,-0.023,1.155
Preload-1N,1-Compress,0.560,11.129,-0.023,1.166
Preload-1N,1-Compress,0.570,11.129,-0.023,1.176
Preload-1N,1-Compress,0.580,11.129,-0.023,1.176
Preload-1N,1-Compress,0.590,11.129,-0.023,1.176
Preload-1N,1-Compress,0.600,11.129,-0.023,1.176
Preload-1N,1-Compress,0.610,11.129,-0.023,1.187
Preload-1N,1-Compress,0.620,11.129,-0.023,1.176
Preload-1N,1-Compress,0.630,11.129,-0.023,1.187
Preload-1N,1-Compress,0.640,11.129,-0.023,1.187
Preload-1N,1-Compress,0.650,11.129,-0.023,1.176
Preload-1N,1-Compress,0.660,11.129,-0.023,1.166
Preload-1N,1-Compress,0.670,11.129,-0.023,1.166
Preload-1N,1-Compress,0.680,11.129,-0.023,1.155
Preload-1N,1-Compress,0.690,11.129,-0.023,1.155
Preload-1N,1-Compress,0.700,11.129,-0.023,1.155
Preload-1N,1-Compress,0.710,11.129,-0.023,1.155
Preload-1N,1-Compress,0.720,11.129,-0.023,1.145
Preload-1N,1-Compress,0.730,11.129,-0.023,1.145
Preload-1N,1-Compress,0.740,11.129,-0.023,1.145
